"61be946b27eac9658b20c0a1","2021-12-19 02:09:47.000000","Unless otherwise noted on their web presences, by appointment only","user","https://foursquare.com/item/61be946b27eac9658b20c0a1","22","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","4f520a09e5e8563d5c7e1fa9","Clutter Magazine","https://foursquare.com/v/clutter-magazine/4f520a09e5e8563d5c7e1fa9"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"6172b43b91602d15bf4ec7df","2021-10-22 12:53:15.000000","Great cold brew!","user","https://foursquare.com/item/6172b43b91602d15bf4ec7df","19","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","570bed4acd10b7535ea7d653","Strange Brew","https://foursquare.com/v/strange-brew/570bed4acd10b7535ea7d653"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"610b4621e9e5260d2198e53b","2021-08-05 02:00:01.000000","Vegan fake beef dumplings were spicy and fantastic!","user","https://foursquare.com/item/610b4621e9e5260d2198e53b","72","1","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","5b030af5628c83002c2e9304","Vanessa’s Dumpling House - The Factory","https://foursquare.com/v/vanessas-dumpling-house--the-factory/5b030af5628c83002c2e9304"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"60cc2a68a934bd77049d7840","2021-06-18 05:08:56.000000","This was such a lucky find! I was starving & it was late and we were able to sneak in 30 minutes before the kitchen closed. Drinks were amazing and the food was really great. A very strong recommend!","user","https://foursquare.com/item/60cc2a68a934bd77049d7840","72","0","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","52d1cfe0498e2bacdbf68f49","Sanchos Cantina & Cocina","https://foursquare.com/v/sanchos-cantina--cocina/52d1cfe0498e2bacdbf68f49"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
"60bd8143802cbe2218ff696d","2021-06-07 02:15:31.000000","I'm going to change your life: get the tomato soup and then dip fries into it.","user","https://foursquare.com/item/60bd8143802cbe2218ff696d","79","1","0","15234","Aram","Zucker-Scharff","chronotope","false","male","","","","US","self","https://fastly.4sqi.net/img/user/","/15234-EMJINMXJKZ5R5S20.jpg","3fd66200f964a5205ae91ee3","Cafeteria","https://foursquare.com/v/cafeteria/3fd66200f964a5205ae91ee3"
"id","createdAt","text","type","canonicalUrl","viewCount","agreeCount","disagreeCount","user.id","user.firstName","user.lastName","user.handle","user.privateProfile","user.gender","user.address","user.city","user.state","user.countryCode","user.relationship","user.photo.prefix","user.photo.suffix","venue.id","venue.name","venue.url"
